Localidade/UF;CEP
Abaeté/MG;35620-000
Rio Paranaíba/MG;38812-000
Leopoldina/MG;36708-200
Abre Campo/MG;35365-000
Acaiaca/MG;35438-000
Açucena/MG;35147-000
Itabirito/MG;35458-000
Botumirim/MG;39597-000
Água Boa/MG;39790-000
Comercinho/MG;39629-000
Estrela Dalva/MG;36728-000
Mariana/MG;35429-100
Conceição do Rio Verde/MG;37435-000
São Pedro dos Ferros/MG;35362-000
Águas Formosas/MG;39880-000
Águas Vermelhas/MG;39990-000
Aimorés/MG;35200-000
Aiuruoca/MG;37450-000
Alagoa/MG;37458-000
Martinho Campos/MG;35608-000
Formiga/MG;35579-400
Cuparaque/MG;35247-500
Conselheiro Pena/MG;35245-000
Além Paraíba/MG;36660-000
Alfredo Vasconcelos/MG;36272-000
Conselheiro Lafaiete/MG;36409-200
Almenara/MG;39900-000
Alpercata/MG;35138-000
Bocaiúva/MG;39394-000
Aimorés/MG;35210-000
Governador Valadares/MG;35102-000
Congonhas/MG;36418-200
Tapiraí/MG;38985-000
Coração de Jesus/MG;39347-000
Alvarenga/MG;35249-000
Mariana/MG;35428-400
Carangola/MG;36803-000
Alvorada de Minas/MG;39140-000
Ouro Preto/MG;35412-000
Amparo da Serra/MG;35444-000
Três Marias/MG;39207-000
Recreio/MG;36746-000
Angelândia/MG;39685-000
Brasília de Minas/MG;39332-000
Além Paraíba/MG;36664-000
Antônio Dias/MG;35177-000
Caeté/MG;34960-000
Franciscópolis/MG;39697-000
Ouro Preto/MG;35411-000
Montes Claros/MG;39429-100
Pedra Azul/MG;39976-000
Cataguases/MG;36776-000
Araçuaí/MG;39600-000
Açucena/MG;35147-100
Brumadinho/MG;35462-000
Arantina/MG;37360-000
Araponga/MG;36594-000
Arapuá/MG;38860-000
Araújos/MG;35603-000
Arcos/MG;35588-000
Ibiá/MG;38955-000
Argirita/MG;36710-000
Aricanduva/MG;39678-000
Coração de Jesus/MG;39341-000
Leopoldina/MG;36708-100
Astolfo Dutra/MG;36780-000
Ataléia/MG;39850-000
Augusto de Lima/MG;39219-000
Jacinto/MG;39931-000
Itabirito/MG;35459-000
Baependi/MG;37443-000
Governador Valadares/MG;35105-000
Formiga/MG;35579-200
Mendes Pimentel/MG;35274-000
Minas Novas/MG;39652-000
Bertópolis/MG;39877-000
Bambuí/MG;38900-000
Esmeraldas/MG;32813-500
Bandeira/MG;39917-000
Mariana/MG;35428-600
Ipatinga/MG;35165-000
Mantena/MG;35295-000
Conselheiro Pena/MG;35243-000
Barra Longa/MG;35447-000
Catuti/MG;39526-700
Janaúba/MG;39449-300
Mariana/MG;35429-500
Mariana/MG;35429-600
Grão Mogol/MG;39572-000
Estrela do Indaiá/MG;35615-000
Belo Oriente/MG;35195-000
Teófilo Otoni/MG;39806-000
Belo Vale/MG;35473-000
Corinto/MG;39203-000
Mariana/MG;35428-100
Ubaí/MG;39325-000
Berilo/MG;39640-000
Berizal/MG;39555-000
Bertópolis/MG;39875-000
Bicas/MG;36600-000
